paper_id,title,authors,venue,year,category,core_method,dataset_used,key_metric,key_strength,key_limitation,how_we_differ,cite_in_sections
wang2022m2tr,"M2TR: Multi-modal Multi-scale Transformers for Deepfake Detection","Wang et al.","ICMR",2022,direct_predecessor,"Multi-scale transformer with RGB and frequency-domain streams plus cross-modality fusion","FaceForensics++, Celeb-DF, SR-DF, ForgeryNet","97.93% accuracy on FF++ HQ; 99.8% AUC on Celeb-DF","Captures local and frequency artifacts robustly","Does not target audio-visual synchronization or model compression","PIN-Lite compresses an audio-visual cross-attention model and evaluates explanation preservation","intro,related_work"
shahzad2025avlipsync,"AV-Lip-Sync+: Leveraging AV-HuBERT to Exploit Multimodal Inconsistency for Video Deepfake Detection","Shahzad et al.","IEEE THMS",2025,direct_predecessor,"AV-HuBERT features, temporal modeling, and face encoder for audio-visual inconsistency","FakeAVCeleb, DeepfakeTIMIT","99.29% accuracy on FakeAVCeleb","Strong multimodal detection through SSL audio-visual features","Large pretrained components and high inference cost","PIN-Lite targets compact deployment and reports parameter, size, latency, and EPS","intro,related_work,experiments"
du2025cad,"CAD: A General Multimodal Framework for Video Deepfake Detection via Cross-Modal Alignment and Distillation","Du et al.","arXiv",2025,direct_predecessor,"Cross-modal alignment and distillation for modality-specific and semantic inconsistency cues","Multimodal and unimodal deepfake benchmarks including FakeAVCeleb","Reported strong benchmark performance","Explicitly models alignment and distillation in multimodal detection","Not designed as an edge compression pipeline with explanation-fidelity metric","PIN-Lite combines compression stages with attention-fidelity evaluation","related_work"
tariq2025dfp2e,"From Prediction to Explanation: Multimodal, Explainable, and Interactive Deepfake Detection Framework for Non-Expert Users","Tariq et al.","ACM MM",2025,direct_predecessor,"Classifier plus Grad-CAM, captioning, and LLM narrative explanation modules","DF40","Competitive detection with explanation quality","Connects predictions to user-facing explanations","Uses heavy visual-language and language-model components","PIN-Lite preserves intrinsic cross-attention explanations in compact models","intro,related_work"
karathanasis2025compression,"A Brief Review for Compression and Transfer Learning Techniques in DeepFake Detection","Karathanasis et al.","arXiv",2025,direct_predecessor,"Pruning, KD, quantization, fine-tuning, and adapters for image deepfake detection","Synthbuster, RAISE, ForenSynths","Up to 90% compression with same-domain retention","Closest edge-oriented compression study in deepfake detection","Image-only setting and limited explanation analysis","PIN-Lite extends compression to audio-visual detection and introduces EPS","intro,related_work,experiments"
cai2022lavdf,"Do You Really Mean That? Content Driven Audio-Visual Deepfake Dataset and Multimodal Method for Temporal Forgery Localization","Cai et al.","DICTA",2022,methodological_foundation,"Content-driven audio-visual manipulations and temporal forgery localization benchmark","LAV-DF","Strong temporal localization baseline","Provides the benchmark used in PIN-Lite","Benchmark paper rather than compression method","PIN-Lite uses LAV-DF to study compact audio-visual detection","method,experiments"
hinton2015distillation,"Distilling the Knowledge in a Neural Network","Hinton et al.","arXiv",2015,methodological_foundation,"Teacher-student distillation through softened output distributions","MNIST and speech recognition systems","Improved small-model performance through distillation","Foundational compression technique","Does not preserve explanations directly","PIN-Lite adds attention-map transfer and EPS","method"
vaswani2017attention,"Attention Is All You Need","Vaswani et al.","NeurIPS",2017,methodological_foundation,"Scaled dot-product attention and multi-head attention","Machine translation benchmarks","Transformer SOTA translation performance","Foundational attention architecture","Does not address forensic interpretability or edge compression","PIN-Lite uses cross-attention maps as explanation objects","method"
howard2019mobilenetv3,"Searching for MobileNetV3","Howard et al.","ICCV",2019,methodological_foundation,"Hardware-aware NAS and NetAdapt for mobile CNN backbones","ImageNet, COCO, Cityscapes","MobileNetV3-Small improves latency/accuracy tradeoff","Strong lightweight visual backbone","General mobile vision model, not deepfake-specific","PIN-Lite adapts MobileNetV3-Small to audio-visual student detection","method"
jacob2018quantization,"Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference","Jacob et al.","CVPR",2018,methodological_foundation,"Integer-only quantization for efficient neural inference","ImageNet, COCO","CPU-efficient INT8 inference","Foundational quantization framework","Does not address multimodal attention fidelity","PIN-Lite evaluates quantization effects on detection and EPS","method,experiments"
katharopoulos2020linear,"Transformers are RNNs: Fast Autoregressive Transformers with Linear Attention","Katharopoulos et al.","ICML",2020,gap_exposing,"Kernelized linear attention reducing quadratic sequence complexity","Autoregressive sequence modeling","Up to 4000x speedups in long autoregressive settings","Motivates efficient attention replacement","May alter attention distributions in ways harmful to explanation fidelity","PIN-Lite empirically shows Linear Attention collapses EPS in this task","method,experiments,discussion"
shazeer2019mqa,"Fast Transformer Decoding: One Write-Head is All You Need","Shazeer","arXiv",2019,gap_exposing,"Multi-query attention with shared keys and values","Transformer decoding","Reduced memory bandwidth for decoding","Efficient attention variant with minimal change to query diversity","Originally designed for decoding, not forensic attention preservation","PIN-Lite tests MQA in multimodal cross-attention and reports EPS","method,experiments,discussion"
alharbi2021xdistillation,"Learning Interpretation with Explainable Knowledge Distillation","Alharbi et al.","arXiv",2021,gap_exposing,"XDistillation transfers predictions and explanation information through an autoencoder","CIFAR-10 and image classification benchmarks","Improved explanation faithfulness vs conventional KD","Shows KD can fail to transfer explanations","Requires auxiliary explanation approximation and is image-centric","PIN-Lite directly transfers cross-attention maps and defines EPS","related_work,method"
parchami2024e2kd,"Good Teachers Explain: Explanation-Enhanced Knowledge Distillation","Parchami-Araghi et al.","ECCV",2024,gap_exposing,"Explanation-enhanced KD aligns student and teacher explanation maps","ImageNet, Waterbirds, Pascal VOC","Improved accuracy and teacher-student agreement","Strong support for right-for-right-reasons distillation","Does not handle audio-visual deepfake compression","PIN-Lite applies explanation-preserving KD to multimodal forensic detection","intro,related_work,method"
malik2025pruning,"Interpretability-Aware Pruning for Efficient Medical Image Analysis","Malik et al.","arXiv",2025,gap_exposing,"Pruning guided by attribution/relevance scores","MURA, KVASIR, CPN, FETAL Planes","Accuracy retention under high sparsity","Connects pruning decisions with interpretability","Medical image setting and pruning-focused metric","PIN-Lite measures explanation preservation across distillation, pruning, quantization, and attention variants","related_work,discussion"

